Region,League,Year,Dataset,Team,Team_WAR,WAR_per_Game,W,L,GP,W_pct,Players
Korea,LCK,2023,Spring + Spring PO + Summer + Summer PO,Dplus Kia,97.4,1.107,52,36,88,59.1,"Deft, Kellin, Canyon, Canna, ShowMaker"
Korea,LCK,2023,Spring + Spring PO + Summer + Summer PO,T1,118.69,0.989,74,46,120,61.7,"Zeus, Oner, Keria, Gumayusi, Faker"
Korea,LCK,2023,Spring + Spring PO + Summer + Summer PO,KT Rolster,93.54,0.821,79,35,114,69.3,"Kiin, Cuzz, Aiming, Bdd, Lehends"
Korea,LCK,2023,Spring + Spring PO + Summer + Summer PO,Gen.G,76.35,0.7,81,28,109,74.3,"Doran, Chovy, Peyz, Peanut, Delight"
Korea,LCK,2023,Spring + Spring PO + Summer + Summer PO,Hanwha Life Esports,41.24,0.385,59,48,107,55.1,"Viper, Zeka, Kingen, Life, Clid"
Korea,LCK,2023,Spring + Spring PO + Summer + Summer PO,HANJIN BRION,29.68,0.333,28,61,89,31.5,"UmTi, Effort, Karis, Morgan, Hena"
Korea,LCK,2023,Spring + Spring PO + Summer + Summer PO,Liiv SANDBOX,28.56,0.314,37,54,91,40.7,"Kael, Willer, Envyy, Clozer, Burdol"
Korea,LCK,2023,Spring + Spring PO + Summer + Summer PO,DN SOOPers,15.05,0.181,27,56,83,32.5,"DuDu, YoungJae, BuLLDoG, Jun, Taeyoon"
Korea,LCK,2023,Spring + Spring PO + Summer + Summer PO,Kiwoom DRX,0.17,0.002,28,62,90,31.1,"FATE, BeryL, Paduck, Rascal, Croco"
Korea,LCK,2023,Spring + Spring PO + Summer + Summer PO,Nongshim RedForce,-8.05,-0.095,22,63,85,25.9,"Peter, FIESTA, vital, DnDn, Sylvie"
Korea,LCK,2024,Spring + Spring PO + Summer + Summer PO,Gen.G,137.36,1.334,86,17,103,83.5,"Kiin, Chovy, Peyz, Canyon, Lehends"
Korea,LCK,2024,Spring + Spring PO + Summer + Summer PO,Hanwha Life Esports,118.18,1.055,78,34,112,69.6,"Viper, Doran, Zeka, Delight, Peanut"
Korea,LCK,2024,Spring + Spring PO + Summer + Summer PO,KT Rolster,88.85,0.916,50,47,97,51.5,"Bdd, PerfecT, Deft, BeryL, Pyosik"
Korea,LCK,2024,Spring + Spring PO + Summer + Summer PO,Dplus Kia,94.41,0.851,59,52,111,53.2,"Aiming, Kingen, ShowMaker, Kellin, Lucid"
Korea,LCK,2024,Spring + Spring PO + Summer + Summer PO,T1,82.53,0.724,72,42,114,63.2,"Zeus, Keria, Faker, Oner, Gumayusi"
Korea,LCK,2024,Spring + Spring PO + Summer + Summer PO,DN SOOPers,63.26,0.703,39,51,90,43.3,"Cuzz, BuLLDoG, DuDu, Leaper, Andil"
Korea,LCK,2024,Spring + Spring PO + Summer + Summer PO,BNK FEARX,48.78,0.554,34,54,88,38.6,"Clear, Raptor, Execute, Clozer, Hena"
Korea,LCK,2024,Spring + Spring PO + Summer + Summer PO,Kiwoom DRX,32.47,0.391,21,62,83,25.3,"Pleata, Teddy, kyeahoo, Rascal, Sponge"
Korea,LCK,2024,Spring + Spring PO + Summer + Summer PO,HANJIN BRION,11.95,0.146,16,66,82,19.5,"Morgan, Envyy, GIDEON, Pollu, Karis"
Korea,LCK,2024,Spring + Spring PO + Summer + Summer PO,Nongshim RedForce,10.72,0.128,27,57,84,32.1,"Peter, Jiwoo, Callme, DnDn, Sylvie"
Korea,LCK,2025,Cup + Rounds 1-2 + Road to MSI + Rounds 3-5 + Play-In + Playoffs,T1,102.01,0.887,72,43,115,62.6,"Keria, Oner, Gumayusi, Doran, Faker"
Korea,LCK,2025,Cup + Rounds 1-2 + Road to MSI + Rounds 3-5 + Play-In + Playoffs,Hanwha Life Esports,102.05,0.843,76,45,121,62.8,"Delight, Zeus, Viper, Zeka, Peanut"
Korea,LCK,2025,Cup + Rounds 1-2 + Road to MSI + Rounds 3-5 + Play-In + Playoffs,Gen.G,98.69,0.816,90,31,121,74.4,"Chovy, Ruler, Kiin, Canyon, Duro"
Korea,LCK,2025,Cup + Rounds 1-2 + Road to MSI + Rounds 3-5 + Play-In + Playoffs,KT Rolster,69.35,0.608,54,60,114,47.4,"Bdd, Cuzz, Peter, deokdam, PerfecT"
Korea,LCK,2025,Cup + Rounds 1-2 + Road to MSI + Rounds 3-5 + Play-In + Playoffs,HANJIN BRION,58.85,0.583,39,62,101,38.6,"Clozer, Croco, Morgan, Hype, Pollu"
Korea,LCK,2025,Cup + Rounds 1-2 + Road to MSI + Rounds 3-5 + Play-In + Playoffs,BNK FEARX,55.47,0.528,46,59,105,43.8,"Kellin, Diable, VicLa, Clear, Raptor"
Korea,LCK,2025,Cup + Rounds 1-2 + Road to MSI + Rounds 3-5 + Play-In + Playoffs,DN SOOPers,45.35,0.515,21,67,88,23.9,"BuLLDoG, DuDu, Life, Berserker, Pyosik"
Korea,LCK,2025,Cup + Rounds 1-2 + Road to MSI + Rounds 3-5 + Play-In + Playoffs,Dplus Kia,50.22,0.383,73,58,131,55.7,"Aiming, ShowMaker, Lucid, BeryL, Siwoo"
Korea,LCK,2025,Cup + Rounds 1-2 + Road to MSI + Rounds 3-5 + Play-In + Playoffs,Nongshim RedForce,16.89,0.144,46,71,117,39.3,"Kingen, GIDEON, Calix, Jiwoo, Lehends"
Korea,LCK,2025,Cup + Rounds 1-2 + Road to MSI + Rounds 3-5 + Play-In + Playoffs,Kiwoom DRX,-0.08,-0.001,38,59,97,39.2,"Sponge, Rich, Teddy, Ucal, Andil"
Korea,LCK,2026,Split 1 + Cup,Hanwha Life Esports,82.75,3.065,15,12,27,55.6,"Zeus, Zeka, Kanavi, Delight, Gumayusi"
Korea,LCK,2026,Split 1 + Cup,KT Rolster,57.06,1.841,18,13,31,58.1,"Effort, Bdd, PerfecT, Cuzz, Aiming"
Korea,LCK,2026,Split 1 + Cup,Gen.G,57.56,1.645,27,8,35,77.1,"Chovy, Kiin, Canyon, Duro, Ruler"
Korea,LCK,2026,Split 1 + Cup,DN SOOPers,24.57,0.558,18,26,44,40.9,"DuDu, Pyosik, Peter, Clozer, deokdam"
Korea,LCK,2026,Split 1 + Cup,BNK FEARX,25.51,0.555,23,23,46,50,"VicLa, Kellin, Diable, Raptor, Clear"
Korea,LCK,2026,Split 1 + Cup,Nongshim RedForce,18.28,0.538,16,18,34,47.1,"Scout, Lehends, Taeyoon, Sponge, Kingen"
Korea,LCK,2026,Split 1 + Cup,HANJIN BRION,16.01,0.485,10,23,33,30.3,"Namgung, Teddy, Casting, GIDEON, Roamer"
Korea,LCK,2026,Split 1 + Cup,Dplus Kia,15.34,0.313,24,25,49,49,"Smash, Lucid, ShowMaker, Siwoo, Career"
Korea,LCK,2026,Split 1 + Cup,T1,9.51,0.272,20,15,35,57.1,"Keria, Peyz, Doran, Faker, Oner"
Korea,LCK,2026,Split 1 + Cup,Kiwoom DRX,-6.3,-0.137,19,27,46,41.3,"Jiwoo, Ucal, Rich, Willer, Andil"
Korea,LCK CL,2026,Kickoff + Rounds 1-2,T1 Esports Academy,132.79,2.656,31,19,50,62,"Cloud, Guti, Painter, Haetae, Cypher"
Korea,LCK CL,2026,Kickoff + Rounds 1-2,KT Rolster Challengers,75.87,1.764,25,18,43,58.1,"Effort, Sylvie, FenRir, Hwichan, Sero"
Korea,LCK CL,2026,Kickoff + Rounds 1-2,Nongshim Esports Academy,68.57,1.371,33,17,50,66,"Pleata, Janus, Mihawk, SeTab, Lucy"
Korea,LCK CL,2026,Kickoff + Rounds 1-2,Dplus Kia Challengers,40.26,1.342,17,13,30,56.7,"Sharvel, Loopy, Garden, Jaehyuk, Wayne"
Korea,LCK CL,2026,Kickoff + Rounds 1-2,DN SOOPers Challengers,49.09,1.292,20,18,38,52.6,"Enosh, Lancer, Quantum, DDoiV, Flip"
Korea,LCK CL,2026,Kickoff + Rounds 1-2,BNK FEARX Youth,39.71,1.168,13,21,34,38.2,"FIESTA, Kangin, Slayer, Luon, Zephyr"
Korea,LCK CL,2026,Kickoff + Rounds 1-2,Hanwha Life Esports Challengers,34.69,0.889,17,22,39,43.6,"Pyeonsik, Bluffing, Jackal, Cracker, Panther"
Korea,LCK CL,2026,Kickoff + Rounds 1-2,HANJIN BRION Challengers,27.09,0.821,11,22,33,33.3,"PlanB, Tempester, OddEye, Dinai, DDahyuk"
Korea,LCK CL,2026,Kickoff + Rounds 1-2,Kiwoom DRX Challengers,24.18,0.474,24,27,51,47.1,"LazyFeel, Winner, Frog, Minous, AKaJe"
Korea,LCK CL,2026,Kickoff + Rounds 1-2,Gen.G Global Academy,-8.45,-0.282,8,22,30,26.7,"Kemish, Lumos, Ripple, Courage, MUDAI"
Europe,LEC,2025,Spring,Team BDS,52.8,2.514,8,13,21,38.1,"Ice, Parus, nuc, 113, Irrelevant"
Europe,LEC,2025,Spring,Movistar KOI,42.24,1.92,14,8,22,63.6,"Myrwn, Alvaro, Elyoya, Jojopyun, Supa"
Europe,LEC,2025,Spring,Fnatic,37.44,1.783,15,6,21,71.4,"Upset, Razork, Mikyx, Oscarinin, Humanoid"
Europe,LEC,2025,Spring,Karmine Corp,38.88,1.62,17,7,24,70.8,"Caliste, Canna, Yike, Targamas, Vladi"
Europe,LEC,2025,Spring,GiantX,33.37,1.589,10,11,21,47.6,"Jackies, Noah, ISMA, Lot, Jun"
Europe,LEC,2025,Spring,G2 Esports,26.84,1.22,13,9,22,59.1,"SkewMond, BrokenBlade, Hans Sama, Labrov, Caps"
Europe,LEC,2025,Spring,Rogue,22.74,1.137,5,15,20,25,"Adam, Patrik, Larssen, Execute, Malrang"
Europe,LEC,2025,Spring,Team Heretics,18.74,0.892,10,11,21,47.6,"Kamiloo, Sheo, Flakked, Stend, Carlsen"
Europe,LEC,2025,Spring,Team Vitality,8.38,0.399,9,12,21,42.9,"Naak Nako, Czajek, Nisqy, Lyncas, Carzzy"
Europe,LEC,2025,Spring,SK Gaming,-13.82,-0.727,5,14,19,26.3,"Reeker, Loopy, Keduii, Boukada, JNX"
Europe,LEC,2026,Spring + Versus + Versus PO,Natus Vincere,139.29,4.493,18,13,31,58.1,"Rhilech, Maynter, Parus, SamD, Poby"
Europe,LEC,2026,Spring + Versus + Versus PO,Shifters,65.25,3.262,6,14,20,30,"Rooster, Trymbi, Paduck, nuc, Boukada"
Europe,LEC,2026,Spring + Versus + Versus PO,Movistar KOI,111.48,3.185,20,15,35,57.1,"Supa, Elyoya, Jojopyun, Alvaro, Myrwn"
Europe,LEC,2026,Spring + Versus + Versus PO,Karmine Corp,115.76,3.046,26,12,38,68.4,"Yike, Canna, Caliste, kyeahoo, Busio"
Europe,LEC,2026,Spring + Versus + Versus PO,Karmine Corp Blue,30.37,2.761,2,9,11,18.2,"Prime, Yukino, Hazel, Kamiloo, Tao"
Europe,LEC,2026,Spring + Versus + Versus PO,G2 Esports,91.26,2.607,24,11,35,68.6,"SkewMond, Caps, Hans Sama, BrokenBlade, Labrov"
Europe,LEC,2026,Spring + Versus + Versus PO,Team Vitality,91.77,2.549,23,13,36,63.9,"Fleshy, Naak Nako, Carzzy, Lyncas, Humanoid"
Europe,LEC,2026,Spring + Versus + Versus PO,Fnatic,57.22,2.289,8,17,25,32,"Upset, Razork, Vladi, Empyros, Lospa"
Europe,LEC,2026,Spring + Versus + Versus PO,GiantX,70.82,1.914,19,18,37,51.4,"Jun, Jackies, ISMA, Lot, Noah"
Europe,LEC,2026,Spring + Versus + Versus PO,SK Gaming,53.86,1.857,9,20,29,31,"Jopa, Mikyx, Wunder, Skeanz, LIDER"
Europe,LEC,2026,Spring + Versus + Versus PO,Los Ratones,9.84,0.895,5,6,11,45.5,"Rekkles, Nemesis, Velja, Crownie, Baus"
Europe,LEC,2026,Spring + Versus + Versus PO,Team Heretics,19.26,0.602,10,22,32,31.2,"Sheo, Tracyn, Serin, Way, Ice"
Americas,CBLOL,2026,Split 1 + Cup,FURIA,70.18,2.064,21,13,34,61.8,"Tatu, Guigo, Ayu, JoJo, Tutsz"
Americas,CBLOL,2026,Split 1 + Cup,Vivo Keyd Stars,48.76,1.741,13,15,28,46.4,"Boal, Mireu, Kaiwing, Disamis, Morttheus"
Americas,CBLOL,2026,Split 1 + Cup,Fluxo W7M,29.62,1.481,8,12,20,40,"cody, BAO, Peach, Momochi, curty"
Americas,CBLOL,2026,Split 1 + Cup,Leviatan,43.19,1.309,12,21,33,36.4,"ceo, Enga, TopLop, Devost, Booki"
Americas,CBLOL,2026,Split 1 + Cup,RED Canids,39.75,1.282,21,10,31,67.7,"frosty, Kaze, fNb, Curse, Rabelo"
Americas,CBLOL,2026,Split 1 + Cup,LØS,33.48,1.24,15,12,27,55.6,"Zest, Ackerman, Drakehero, Feisty, Duduhh"
Americas,CBLOL,2026,Split 1 + Cup,LOUD,32.98,1.064,19,12,31,61.3,"xyno, Envy, YoungJae, Bull, RedBert"
Americas,CBLOL,2026,Split 1 + Cup,paiN Gaming,23.46,0.902,6,20,26,23.1,"Trigger, Kuri, CarioK, Robo, tinowns"
Americas,LCS,2026,Lock-In + Spring,Team Liquid,90.72,3.944,14,9,23,60.9,"Josedeodo, Quid, Morgan, Yeon, CoreJJ"
Americas,LCS,2026,Lock-In + Spring,Cloud9,78.77,3.151,19,6,25,76,"Blaber, Zven, APA, Thanatos, Vulcan"
Americas,LCS,2026,Lock-In + Spring,FlyQuest,61.2,2.782,9,13,22,40.9,"Gryffinn, Quad, Cryogen, Gakgos, Massu"
Americas,LCS,2026,Lock-In + Spring,Sentinels,72.81,2.511,13,16,29,44.8,"huhi, DARKWINGS, HamBak, Rahel, Impact"
Americas,LCS,2026,Lock-In + Spring,LYON,73.13,2.438,20,10,30,66.7,"Berserker, Isles, Inspired, Saint, Dhokla"
Americas,LCS,2026,Lock-In + Spring,Disguised,21.88,0.912,9,15,24,37.5,"Castle, Callme, KryRa, Lyonz, sajed"
Americas,LCS,2026,Lock-In + Spring,Dignitas,-0.68,-0.045,4,11,15,26.7,"Photon, FBI, Ignar, Palafox, eXyu"
Americas,LCS,2026,Lock-In + Spring,Shopify Rebellion,-20.07,-1.672,2,10,12,16.7,"Bvoy, Contractz, Zinie, Ceos, Fudge"
Pacific,LCP,2026,Split 1 + PO + Split 2,Team Secret Whales,144.79,4.137,28,7,35,80,"Hizto, Eddie, Bie, Dire, Pun"
Pacific,LCP,2026,Split 1 + PO + Split 2,MVK Esports,79.41,2.941,13,14,27,48.1,"Shogun, Kati, Gury, Elio, Kratos"
Pacific,LCP,2026,Split 1 + PO + Split 2,Fukuoka SoftBank HAWKS gaming,95.89,2.459,20,19,39,51.3,"Aria, Marble, Evi, Vsta, Van"
Pacific,LCP,2026,Split 1 + PO + Split 2,CTBC Flying Oyster,63.48,2.189,12,17,29,41.4,"Shad0w, Doggo, Rest, Pungyeon, 2274"
Pacific,LCP,2026,Split 1 + PO + Split 2,Deep Cross Gaming,85.51,1.943,24,20,44,54.5,"HongSuo, ShiauC, Flauren, Feng, POP9"
Pacific,LCP,2026,Split 1 + PO + Split 2,GAM Esports,47.59,1.763,14,13,27,51.9,"Taki, Kiaya, Artemis, Aress, Draktharr"
Pacific,LCP,2026,Split 1 + PO + Split 2,Ground Zero Gaming,35.14,0.901,18,21,39,46.2,"1Jiang, Husha, Orca, Shunn, JimieN"
Pacific,LCP,2026,Split 1 + PO + Split 2,DetonatioN FocusMe,-112.93,-5.133,2,20,22,9.1,"Keine, Citrus, Momo, Kakkun, Gaeng"